transcript	gencode_gene	gencode_gene_id	gnomad_gene	chr	gnomad_transcript_start	gnomad_transcript_end	gnomad_cds_start	gnomad_cds_end	strand
ENST00000000233	ARF5	ENSG00000004059	ARF5	7	127228399	127231759	127228553	127231350	+
ENST00000000412	M6PR	ENSG00000003056	M6PR	12	9092959	9102551	9094417	9099000	-
ENST00000001008	FKBP4	ENSG00000004478	FKBP4	12	2904119	2914576	2904306	2912421	+
ENST00000001146	CYP26B1	ENSG00000003137	CYP26B1	2	72356367	72375167	72359359	72374963	-
ENST00000002125	NDUFAF7	ENSG00000003509	NDUFAF7	2	37458774	37480546	37458849	37475490	+
ENST00000002165	FUCA2	ENSG00000001036	FUCA2	6	143815948	143832827	143816847	143832771	-
ENST00000002596	HS3ST1	ENSG00000002587	HS3ST1	4	11394774	11431389	11400709	11401629	-
ENST00000002829	SEMA3F	ENSG00000001617	SEMA3F	3	50192478	50226508	50197056	50225545	+
ENST00000003084	CFTR	ENSG00000001626	CFTR	7	117105838	117356025	117120149	117307159	+
ENST00000003100	CYP51A1	ENSG00000001630	CYP51A1	7	91741465	91772266	91742982	91763678	-
ENST00000003302	USP28	ENSG00000048028	USP28	11	113668596	113746292	113669965	113746223	-
ENST00000004531	SLC7A2	ENSG00000003989	SLC7A2	8	17354597	17428082	17396334	17422652	+
ENST00000004921	CCL18	ENSG00000006074	CCL18	17	34391640	34399392	34391703	34398398	+
ENST00000004980	SENP1	ENSG00000079387	SENP1	12	48436681	48500091	48439108	48495255	-
ENST00000005178	PDK4	ENSG00000004799	PDK4	7	95212811	95225803	95214956	95225605	-
ENST00000005226	USH1C	ENSG00000006611	USH1C	11	17515442	17565963	17515882	17565854	-
ENST00000005257	RALA	ENSG00000006451	RALA	7	39663082	39747723	39726267	39745841	+
ENST00000005260	BAIAP2L1	ENSG00000006453	BAIAP2L1	7	97920963	98030380	97922836	98030164	-
ENST00000005284	CACNG3	ENSG00000006116	CACNG3	16	24266874	24374122	24268076	24373181	+
ENST00000005286	TMEM132A	ENSG00000006118	TMEM132A	11	60691935	60704631	60692106	60704376	+
ENST00000005340	DVL2	ENSG00000004975	DVL2	17	7128660	7137864	7129187	7137581	-
ENST00000005386	RPAP3	ENSG00000005175	RPAP3	12	48057070	48099844	48057291	48096623	-
ENST00000005995	PRSS21	ENSG00000007038	PRSS21	16	2867164	2876305	2867270	2871603	+
ENST00000006015	HOXA11	ENSG00000005073	HOXA11	7	27221129	27224842	27222418	27224763	-
ENST00000006053	CX3CL1	ENSG00000006210	CX3CL1	16	57406370	57418960	57406481	57416941	+
ENST00000006101	COPZ2	ENSG00000005243	COPZ2	17	46103533	46115392	46103797	46115139	-
ENST00000006275	TRAPPC6A	ENSG00000007255	TRAPPC6A	19	45666186	45681495	45666453	45681476	-
ENST00000006658	SPATA20	ENSG00000006282	SPATA20	17	48620419	48633213	48624570	48633020	+
ENST00000006724	CEACAM7	ENSG00000007306	CEACAM7	19	42177235	42210895	42181343	42192094	-
ENST00000006777	RHBDD2	ENSG00000005486	RHBDD2	7	75471920	75518244	75508401	75517664	+
ENST00000007390	TSR3	ENSG00000007520	TSR3	16	1399241	1401912	1399441	1401805	-
ENST00000007414	OSBPL7	ENSG00000006025	OSBPL7	17	45884738	45899200	45885660	45897644	-
ENST00000007699	YBX2	ENSG00000006047	YBX2	17	7191571	7197934	7192110	7197819	-
ENST00000007722	ITGA3	ENSG00000005884	ITGA3	17	48133332	48167845	48133804	48166626	+
ENST00000007735	KRT33A	ENSG00000006059	KRT33A	17	39502344	39507064	39502374	39507019	-
ENST00000007969	LRRC23	ENSG00000010626	LRRC23	12	6982733	7023407	7014798	7022164	+
ENST00000008391	TFAP2D	ENSG00000008197	TFAP2D	6	50681541	50740701	50681769	50740574	+
ENST00000008527	CRY1	ENSG00000008405	CRY1	12	107385142	107487607	107386568	107486739	-
ENST00000008938	PGLYRP1	ENSG00000008438	PGLYRP1	19	46522411	46526323	46522499	46526279	-
ENST00000009041	STARD3NL	ENSG00000010270	STARD3NL	7	38217824	38270272	38247106	38268452	+
ENST00000009105	CAMK1G	ENSG00000008118	CAMK1G	1	209757062	209787283	209768329	209786217	+
ENST00000009530	CD74	ENSG00000019582	CD74	5	149781200	149792492	149781806	149792312	-
ENST00000010299	FAM76A	ENSG00000009780	FAM76A	1	28052490	28089633	28052592	28087089	+
ENST00000011292	CPA1	ENSG00000091704	CPA1	7	130020180	130027955	130020362	130027849	+
ENST00000011473	SYPL1	ENSG00000008282	SYPL1	7	105730949	105753022	105732254	105752975	-
ENST00000011619	RANBP9	ENSG00000010017	RANBP9	6	13621730	13711796	13622597	13711737	-
ENST00000011653	CD4	ENSG00000010610	CD4	12	6896024	6929974	6909305	6928492	+
ENST00000011898	TSPAN9	ENSG00000011105	TSPAN9	12	3186521	3395730	3310360	3392279	+
ENST00000012049	QPCTL	ENSG00000011478	QPCTL	19	46195741	46207247	46195962	46206304	+
ENST00000012443	PPP5C	ENSG00000011485	PPP5C	19	46850251	46896238	46850354	46893600	+
ENST00000013070	UBR7	ENSG00000012963	UBR7	14	93673401	93695561	93673637	93693378	+
